关系抽取_RE_Spatial_Emotion,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,空间环境特征_Place_Name
[民国风格建筑] -> [怀旧],Positive,敬佩; 怀旧; 自豪/归属感,中/一般,否,中山码头; 浦口码头; 浦口火车站; 轮渡桥滩公园; 望桥礁; 扬子江生态公园
,Neutral,,弱/低,否,
"[蓝天白云, 江水滚滚] -> [愉悦/开心]",Positive,怀旧/温馨; 愉悦/开心,中/一般,否,长江大桥玻璃栈桥; 下关火车主题公园; 铁路轮渡栈桥旧址; 民国海军医院旧址; 江豚观赏地; 民国首都电厂旧址; 中山码头; 浦口火车站
[紫峰大厦与南堡构图] -> [敬佩/惊叹],Positive,愉悦/开心; 敬佩/惊叹,强/高,否,中山码头
[夕阳] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,挹江门; 民国海军医院旧址
[火车交汇场景] -> [热闹]; [失去功能后的现状] -> [落寞],Negative,怀旧/温馨; 悲伤/失望,中/一般,是（热闹->落寞）,无法判断
,,,,,长江大桥; 大桥南堡公园; 玻璃栈道
[江景] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,桥北金象城; 长江大桥; 南京西站; 紫峰大厦; 鸡鸣寺; 浦口火车站; 中山码头
[民国建筑风格] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,强/高,否,南京西站; 浦口码头; 中山码头
[日照江面] -> [兴趣/好奇],Positive,怀旧/温馨; 兴趣/好奇,中/一般,否,南京西站
[樱花岛] -> [愉悦/开心]; [郁金香花海] -> [自豪/归属感],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,
无法判断,Positive,兴趣/好奇,中/一般,否,中山码头
[朱自清《背影》场景] -> [怀旧/温馨],Positive,兴趣/好奇; 怀旧/温馨,中/一般,否,浦口火车站; 浦口火车站街区; 南京北站旧址; 浦口码头; 观江平台; 中山码头
[零星标识牌] -> [失望/悲伤],Negative,失望/悲伤; 厌恶,强/高,否,浦口火车站; 中山码头
[红房别墅间] -> [怀旧/温馨],Positive,怀旧/温馨; 敬畏/惊叹,中/一般,否,徐汇滨江; 油罐艺术中心; 外滩及滨江区域; 杨浦滨江; 渔人码头; 水厂栈桥
,,,,,无法判断
,Neutral,,中/一般,否,浦口火车站
[晚霞] -> [愉悦/开心]; [亮灯效果] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,浦口火车站; 中山码头; 总统府1912; 情深深雨濛濛雨廊; 天桥; 铁轨
,Positive,愉悦/开心,中/一般,否,浦口火车站
[斑驳的墙壁] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,
[橘子树] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,强/高,否,中山码头; 棉花堤旗杆渡口; 南京眼; 绿博园; 江心洲; 莫愁湖; 大士茶亭
[唱歌声] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,强/高,否,世贸52对面的江边
[大场景] -> [愉悦/开心],Positive,愉悦/开心,中/一般,否,
[夕Space] -> [温暖],Positive,舒适/安全; 愉悦/开心,中/一般,否,南京浦口火车站; 中山码头; 浦口码头; 民国首都电厂旧址公园; 民国海军医院旧址; 下关火车主题公园
[秦淮灯] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,月台美式; 下关火车主题公园
[浦口火车站] -> [敬佩/自豪],Positive,平静/放松; 敬佩/自豪,中/一般,否,浦口火车站; 南京邮电大学; 富贵山城墙
[长江美景] -> [兴趣/好奇],Positive,兴趣/好奇; 舒适/安全,中/一般,否,下关火车主题公园
[江风] -> [舒适]; [落日] -> [治愈/敬畏],Positive,放松/平静; 愉悦/开心,强/高,否,夕Space落日餐厅
[大桥远景] -> [兴趣/好奇],Positive,兴趣/好奇; 放松/平静,中/一般,否,浦口火车站
,,,,,浦口火车站
[光影效果] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,中山码头; 浦口码头; 南京北站
,Neutral,兴趣/好奇,中/一般,否,中山码头; 浦口码头; 扬子江生态公园; 铁路旧址; 民国首都电厂旧址公园
,,,,,南京长江大桥; 玻璃栈道; 南京铁路会议中心停车场; 火车主题园; 金川河
[橘子海夕阳] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,
[江景与鸟儿] -> [新鲜感],Positive,愉悦/开心; 放松/平静,中/一般,否,颐和路
[夕阳西下的长江大桥] -> [敬畏/惊叹]; [江面微风] -> [舒适/安全],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,中/一般,否,铁路轮渡旧址
[傍晚色彩] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,中/一般,否,
,Neutral,,中/一般,否,中山码头; 浦口码头; 南京北站
[历史性桥梁建筑] -> [敬佩],Positive,自豪/归属感; 敬佩,强/高,否,中山码头; 浦口码头; 浦口火车站
,Positive,舒适/安全,中/一般,否,大桥南堡公园; 长江大桥; 玻璃栈道
[橙色装置艺术] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,铁路轮渡旧址
,Neutral,,弱/低,否,大桥南堡公园
[夕阳下的温柔乡] -> [放松/平静],Positive,放松/平静; 敬畏/惊叹,中/一般,否,浦口铁路轮渡桥; 浦口火车站
[历史场景还原] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,滨江花园; 黄土山小驴子巷; 四平路65号; 劳工新村3幢; 盐仓桥2幢; 多伦路41号; 公共路570号; 中山北路574号
[轮渡汽笛声] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,南京下关滨江; 中山码头; 浦口码头; 浦口火车站; 大马路; 轨道旧址; 浦口公园
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感; 敬佩,中/一般,否,下关码头候船厅旧址; 南京招商局旧址; 民国海军医院旧址
[长江大桥近在咫尺] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,无法判断
,,,,,中山码头; 浦口火车站
[站在大桥正中间远眺滚滚长江] -> [激动],Positive,兴奋; 激动; 羞愧,强/高,是（羞愧->兴奋）,中山码头; 浦口火车站; 南京艺术中心; 大马路; 和记洋行旧址
[江风] -> [自由],Positive,愉悦/开心; 放松/平静,强/高,否,长江大桥
[夕阳下的火车主题公园] -> [治愈/愉悦],Positive,愉悦/开心; 放松/平静,强/高,否,浦口码头; 中山码头; 民国首都电厂旧址公园; 江豚观赏地; 下关火车主题园; 玻璃栈道; 长江大桥
[江风和阳光] -> [放松/平静],Positive,放松/平静; 愉悦/开心,中/一般,否,
[日落] -> [愉悦/开心]; [烧红的天空] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,南京长江大桥; 大桥南堡公园; 玻璃栈道; 阅江楼; 护城河; 刘伯承广场; 金川河; 南桥头堡; 三面红旗雕塑; 工农兵雕像; 大桥北地铁站; 大桥南路公交站
[轮渡声声] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,中山码头; 浦口码头; 长江
[秋意景观] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,下关火车主题公园
[江边日落] -> [愉悦/开心]; [坐在礁石上] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,南京长江大桥; 浦口火车站; 扬子江生态公园; 老浦口1914商业街; 浦口码头; 中山码头; 桥北滨江生态公园
[江豚频频现身] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,无法判断
[江景] -> [喜爱]; [阳光晴天] -> [愉快],Positive,放松/平静; 愉悦/开心; 遗憾/失望,中/一般,是（遗憾->喜悦）,中山码头
[日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口码头; 中山码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥玻璃栈道
[大桥灯光] -> [兴趣/好奇],Mixed,兴趣/好奇; 担忧/焦虑,中/一般,是（兴趣->担忧）,扬子江大道
[神似书店的设计] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,无法判断（未提及具体地点名称）
[民国建筑] -> [兴趣/好奇],Positive,怀旧/温馨; 兴趣/好奇; 自豪/归属感,中/一般,否,阅江楼; 中山码头; 浦口码头; 南京北站; 滨江公园; 下关火车主题公园; 南京长江大桥; 玻璃栈道
[落日余晖] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 怀旧/温馨,强/高,否,中山码头; 五马渡
[夏日蝉鸣] -> [怀旧/温馨]; [少年背影] -> [愉悦/开心],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,长江大桥; 玻璃栈道; 南堡公园玻璃栈桥
[复古风格建筑] -> [怀旧/温馨],Positive,怀旧/温馨; 兴趣/好奇,中/一般,否,梧桐语
,Neutral,,弱/低,否,下关电厂; 恒大滨江; 下关电厂旧址口袋公园; 小红楼; 京艺术中心
[江边傍晚] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 浦口火车站
[日落] -> [愉悦]; [开阔江面] -> [放松],Positive,愉悦/开心; 放松/平静,强/高,否,
[长江大桥] -> [敬畏/惊叹],Positive,敬畏/惊叹; 自豪/归属感,强/高,否,中山码头
,Positive,愉悦/开心; 兴趣/好奇,中/一般,否,中山码头
[滨江景色] -> [愉悦/开心]; [江风拂面] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 敬畏/惊叹,中/一般,否,下关火车主题公园
[落日] -> [治愈/敬畏],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,观景平台
[夕阳景观] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,长江大桥
[大红大绿的阅江楼] -> [敬畏/惊叹]; [绿皮火车与轮船同框] -> [放松/平静],Mixed,愉悦/开心; 放松/平静; 敬畏/惊叹; 焦虑/害怕,中/一般,是（愉悦 -> 焦虑）,中山码头; 浦口码头
[樱花在夜色中] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,中山码头; 浦口码头; 浦口火车站; 扬子江生态公园; 民国首都电厂旧址公园; 江豚观赏地; 江边路; 下关火车主题公园; 南京西站; 玻璃栈道; 长江大桥
[落日景观] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 放松/平静,中/一般,否,南京西站; 铁路轮渡旧址
[夕阳西下] -> [愉悦/开心]; [轮渡缓缓行驶] -> [放松/平静],Positive,放松/平静; 愉悦/开心; 敬畏/惊叹,强/高,否,中山码头
[夕阳] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,阅江楼; 大桥公园; 长江大桥; 紫峰大厦
,,,,,江北新区滨江风光带
[长江景观] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,浦口码头; 中山码头; 民国首都电厂旧址公园; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥玻璃栈道
,,,,,中山码头
[江风] -> [惬意]; [江景] -> [愉悦],Positive,愉悦/开心; 舒适/安全,强/高,否,
[玻璃栈道] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,
[靠窗位置观景] -> [愉悦/开心]; [江边风大] -> [放松/平静],Positive,兴趣/好奇; 愉悦/开心; 期待/向往,中/一般,否,中山码头; 浦口码头; 扬子江生态公园; 浦口公园; 天桥; 滨江公园
[绿皮火车] -> [兴趣/好奇]; [下关火车主题公园] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,
[拼接的火车头] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,民国首都电厂旧址公园; 中山码头
[鲜花和春日景色] -> [浪漫/温馨],Positive,愉悦/开心; 浪漫/温馨,强/高,否,南堡公园; 上元门
[江豚] -> [敬畏/惊叹]; [夕阳] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京长江大桥; 中山码头; 浦口码头; 浦口公园; 码头公园; 阅江楼
[开阔江景] -> [惬意],Mixed,遗憾; 轻松; 满足,中/一般,是（遗憾->满足）,下关火车主题公园
[中西融合建筑风格] -> [敬畏/惊叹]; [宫殿内部梦幻感] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关火车主题公园
[清脆的响声] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,夕Space落日餐厅
[落日] -> [敬畏/惊叹]; [亮灯后的景观] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,下关火车主题公园; 江豚观赏地; 中山码头; 浦口火车站; 玻璃栈道; 长江大桥
[夕阳景色] -> [欣赏/放松]; [拍照打卡点] -> [愉悦],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 南京长江大桥
[落日] -> [敬畏/惊叹]; [波光粼粼的江面] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,中/一般,否,浦口火车站; 下关火车主题园
[落日] -> [浪漫]; [江景] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,浦口码头
[阿姨唱歌] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心; 兴趣/好奇,中/一般,否,大桥南堡公园
[江豚出没] -> [惊喜/开心],Positive,放松/平静; 兴趣/好奇,中/一般,否,浦口码头; 中山码头; 南京长江大桥; 阅江楼景区; 绣球公园
,Neutral,,弱/低,否,下关火车主题公园; 中山码头; 浦口码头
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感,强/高,否,下关火车主题公园; 长江大桥; 玻璃栈道
[夕阳] -> [治愈/敬畏],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 南京北站; 扬子江生态公园; 浦口码头
[老下关] -> [怀旧/温馨],Mixed,怀旧/温馨; 兴趣/好奇,中/一般,否,中山码头; 民国首都电厂旧址公园; 四号码头; 江豚观赏地; 民国海军医院旧址; 铁路轮渡旧址; 下关火车主题公园
[夕阳余晖和江边晚风] -> [浪漫/温馨],Positive,愉悦/开心; 放松/平静; 浪漫/温馨,强/高,否,南京长江大桥
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感; 敬畏/惊叹,强/高,否,长江大桥
[木地板咯吱声] -> [怀旧/温馨],Positive,怀旧/温馨; 敬畏/惊叹; 愉悦/开心,中/一般,否,中山码头; 浦口码头; 南京北站; 扬子江生态公园; 民国首都电厂旧址公园; 长江大桥
,Neutral,,,,下关; 鼓楼滨江
[下午3-4点半光线] -> [治愈/惊叹],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,下关火车主题公园; 民国首都电厂旧址公园; 夕Space落日餐厅
[绝美日落] -> [愉悦/开心]; [阳光温暖] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,南京长江大桥
[江风] -> [放松/平静]; [日落] -> [治愈],Positive,放松/平静; 愉悦/开心; 治愈,中/一般,是（压抑->放松）,民国海军医院旧址; 中山码头; 下关火车主题公园; 滨江步道
[火车站的历史背景] -> [敬佩/惊叹],Positive,怀旧/温馨; 敬佩/惊叹,强/高,否,长江大桥
,Positive,愉悦/开心; 自豪/归属感,中/一般,否,下关火车主题公园
,,,,,夕Space落日餐厅
无法判断,Neutral,,弱/低,否,下关火车主题公园; 栈桥旧址; 民国首都电厂旧址; 中山码头; 浦口火车站旧址; 阅江楼; 大桥公园
[橘子海落日] -> [治愈/敬畏]; [梧桐树荫] -> [舒适/安全],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,南京西站
[老火车站建筑] -> [怀旧/温馨],Neutral,怀旧/温馨,弱/低,否,
[日落] -> [惬意]; [江风] -> [舒适],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,
[阳光] -> [舒适],Mixed,怀旧/温馨; 悲伤/失望; 愉悦/开心,中/一般,是（怀旧->欣慰）,无法判断
[扔水漂] -> [怀旧/温馨]; [火车售卖小吃] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,鼓楼滨江风光带; 中山码头; 下关火车公园; 三叉河口闸; 长江微笑驿站; 民国首都电厂旧址; 江豚书屋; 下关历史陈列馆; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈道; 渡江胜利纪念馆; 红云桥; 揽江台; 7-11江边路店; 罗森便利店; 星巴克; 汉堡王
,Positive,兴趣/好奇; 愉悦/开心,中/一般,否,南京北站
[阳光洒在肩头] -> [舒适/安心]; [咖啡香气] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬爱/感恩,中/一般,否,幕燕滨江风貌区; 达摩古洞; 五马渡; 观音门
[江豚] -> [兴趣/好奇],Mixed,兴趣/好奇; 厌恶,中/一般,是（兴趣->厌恶）,中山码头; 大桥公园
[江豚观赏地] -> [失望],Negative,失望,弱/低,否,中山码头; 下关历史陈列馆; 民国海军医院旧址; 铁路轮渡栈桥旧址
无法判断,Positive,愉悦/开心,中/一般,无法判断,
,Neutral,,中/一般,否,浦口火车站; 浦口大马路; 长江
[波光粼粼的江面] -> [敬畏/惊叹]; [江风轻拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,下关历史陈列馆; 江豚观赏地
[孤独的树] -> [文艺/浪漫]; [日落] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,江豚观赏地
[落日] -> [治愈感]; [鸣笛声] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,无法判断
[江边晚风] -> [放松/平静]; [橘子海夕阳] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,南京长江大桥; 玻璃栈道; 宝塔桥; 中山码头
[朱自清背影车站] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心,强/高,否,下关火车主题公园
[秋日江畔景色] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,玄武湖; 武庙闸展览馆; 先锋书店; 莲花广场芳桥; 梁州揽胜楼; 阳光码头; 水岸听风观景台
[江风拂面] -> [惬意舒适],Positive,愉悦/开心; 放松/平静,强/高,否,浦口码头
,,,,,中山码头; 民国首都电厂旧址公园; 江豚观赏地; 下关火车主题公园; 长江大桥玻璃栈道
[童年旧时光氛围] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,强/高,否,中山码头; 浦口火车站
[军舰模型] -> [震撼],Positive,兴趣/好奇; 敬佩/崇拜,强/高,否,滨江风光带; 滨江绿道; 中山码头; 浦口码头; 民国首都电厂旧址公园; 夕Space落日餐厅; 下关滨江商务区综合指挥中心; 浦口火车站; 胡杨根馄饨店
