关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[浦口火车站大马路] -> [文艺风格]; [南京北站旧址] -> [历史年代感],[文艺风格] -> [愉悦/开心]; [历史感] -> [怀旧/温馨],[愉悦/开心] -> [推荐/下次还来],[历史场景] -> [怀旧/温馨]
[长江大桥] -> [视角很棒]; [夕阳] -> [很美],[视角很棒] -> [愉悦/开心]; [惬意] -> [放松/平静],[愉悦/开心] -> [推荐; 想常来],[夕阳洒在江面] -> [愉悦/开心]
[轮渡] -> [出片]; [浦口火车站长廊] -> [有故事感]; [江豚书屋] -> [教育意义],[出片] -> [愉悦/开心]; [豁然开朗] -> [放松/平静]; [有故事感] -> [兴趣/好奇],[放松/平静] -> [站在江边发呆]; [愉悦/开心] -> [购买文创产品]; [兴趣/好奇] -> [听讲解],[开阔水面] -> [豁然开朗]; [江水波动声音] -> [放松/平静]
[新浦口码头] -> [洁白漂亮优雅]; [轮渡甲板] -> [绝佳观景台],[历史感] -> [怀旧/温馨]; [江景] -> [愉悦/开心]; [宁静氛围] -> [放松/平静],[怀旧/温馨] -> [反复咀嚼怀念]; [愉悦/开心] -> [推荐他人体验],[江风+水汽+凉意] -> [快乐信号]; [老人望江场景] -> [敬畏/惊叹]
[玻璃栈道] -> [出片; 浪漫],[浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[日落晚霞] -> [愉悦/开心; 敬畏/惊叹]
[轮渡] -> [性价比直接拉满]; [浦口火车站] -> [文艺又浪漫],[性价比高] -> [愉悦/开心]; [穿越感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[江风拂面] -> [放松/平静]
,,,
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰],[好看/出片] -> [愉悦/开心]; [宁静] -> [放松/平静],[放松/平静] -> [待了很久/不想走]; [愉悦/开心] -> [推荐/下次还来],[橘子海落日] -> [治愈/敬畏]; [江风] -> [舒适]
[船头位置] -> [视野超好]; [江景] -> [随手一拍都是大片],[视野超好] -> [愉悦/开心]; [出片效果好] -> [愉悦/开心],[愉悦/开心] -> [推荐乘坐轮渡并拍照],[江风拂面] -> [放松/平静]
[过江轮渡] -> [人气上升],[交通便利性提升] -> [期待],[期待] -> [推荐/想来],[江边吹风] -> [愉悦]
,,,
[民国风貌建筑] -> [文艺]; [旧物仓] -> [复古风格],[怀旧氛围] -> [怀旧/温馨]; [文艺风格] -> [愉悦/开心],[怀旧/温馨] -> [推荐/想常来],[《背影》相关场景] -> [敬佩/惊叹]
[长江大桥] -> [美到让人窒息]; [玻璃栈道] -> [美美的]; [火车] -> [美美的],[美到让人窒息] -> [敬畏/惊叹]; [中式浪漫] -> [愉悦/开心],[敬畏/惊叹] -> [推荐]; [愉悦/开心] -> [想常来],[晚风] -> [放松/平静]; [日落] -> [愉悦/开心]
[南京北站旧址] -> [有历史感]; [民国风灯光] -> [有民国氛围感],[有历史感] -> [怀旧/温馨]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐穿旗袍拍照]; [怀旧/温馨] -> [下次再来],[民国风灯光] -> [愉悦/开心]
[浦口火车站] -> [复古氛围很好]; [长江大桥玻璃栈桥] -> [雄伟],[复古氛围很好] -> [愉悦/开心]; [雄伟的长江大桥] -> [敬畏/惊叹],[愉悦/开心] -> [推荐打卡路线]; [敬畏/惊叹] -> [建议看夕阳],[夕阳西下] -> [愉悦/开心]; [滔滔江水] -> [敬畏/惊叹]
[铁路轮渡栈桥] -> [有历史感]; [铁路轮渡栈桥] -> [有文化底蕴],[有历史感] -> [敬佩/惊叹]; [有故事] -> [怀旧],[敬佩/惊叹] -> [可能吸引对历史感兴趣者前来参观],[铁路轮渡栈桥] -> [敬佩/惊叹]
[中山码头] -> [具有重要的文化和历史价值]; [中山码头] -> [文化遗产],[文化遗产] -> [自豪/归属感]; [历史意义] -> [敬佩],[自豪/归属感] -> [推荐参观/值得了解其历史],[中山码头历史] -> [敬佩]
[浦口火车站] -> [有历史感],[有历史感] -> [怀旧/温馨],[放松/平静] -> [适合散步和观景],[开阔江景] -> [放松/平静]
[渡轮] -> [视野好]; [浦口站旧址] -> [适合打卡拍照],[适合打卡拍照] -> [兴趣/好奇]; [等待期间游览] -> [舒适/安全],[兴趣/好奇] -> [打卡拍照]; [舒适/安全] -> [待了一小时],[拍摄取景点] -> [兴趣/好奇]
[南堡公园] -> [功能齐全]; [长江大桥] -> [最火景点之一],,,
[中山码头] -> [有设计感]; [工业风建筑] -> [适合拍照],[有设计感] -> [愉悦/开心]; [适合拍照] -> [兴趣/好奇],[愉悦/开心] -> [推荐]; [兴趣/好奇] -> [下次还来],[江景] -> [放松/平静]
[沿江地标] -> [风景太美]; [历史建筑群] -> [有历史感],[风景太美] -> [愉悦/开心]; [身心享受] -> [放松/平静],[愉悦/开心] -> [期待下次解锁新的路线],[开阔江景] -> [放松/平静]; [江风拂面] -> [舒适/愉悦]
[阅江楼] -> [适宜登高望远]; [中山码头渡轮] -> [体验民国风情]; [火车改造餐厅] -> [环境很好],[江水景观] -> [放松/平静]; [落日] -> [愉悦/开心]; [玻璃栈道] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [放松/平静] -> [再次来访意愿],[落日] -> [愉悦/开心]; [玻璃栈道] -> [敬畏/惊叹]
,,,
[下关江边] -> [视野开阔]; [老旧火车和复古站台] -> [很有复古感],[宁静氛围] -> [放松/平静]; [穿越时空的历史感] -> [敬畏/惊叹],[放松/平静] -> [坐在台阶发呆]; [敬畏/惊叹] -> [等到太阳落山时继续停留],[波光粼粼的江面] -> [宁静]; [昏暗光线下的宽阔江面] -> [敬畏/惊叹]
[轮渡] -> [票价合理]; [浦口火车站] -> [有文化底蕴],[历史感] -> [怀旧/温馨]; [文学记忆] -> [兴趣/好奇],[怀旧/温馨] -> [推荐首次游客前往],[历史建筑] -> [怀旧/温馨]
[中山码头; 下关火车公园] -> [适合拍照],[适合拍照] -> [愉悦/开心],[愉悦/开心] -> [推荐/会再来],[光影效果] -> [愉悦/开心]
[浦口浦云路大桥] -> [有英伦腔调]; [南京长江大桥] -> [震撼],[有设计感] -> [愉悦/开心]; [震撼场景] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[夕阳景色] -> [放松/平静]
[南京长江大桥下的隐藏空间] -> [独特且值得探索],[独特且值得探索] -> [兴趣/好奇]; [独特且值得探索] -> [自豪/归属感],[兴趣/好奇] -> [探索行为]; [自豪/归属感] -> [推荐行为],[隐藏但美丽的空间] -> [好奇与自豪]
[中山码头] -> [民国风情]; [下关火车主题公园] -> [工业风建筑]; [玻璃栈桥] -> [夜景灯光],[民国风情] -> [兴趣/好奇]; [少有人打扰] -> [放松/平静]; [很出片] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想常来],[江景] -> [浪漫]; [日落] -> [壮阔]
[长江大桥] -> [我国第一座现代化大桥]; [居民楼观景平台] -> [视野宽广; 拍照非常方便],[最佳机位] -> [愉悦/开心]; [壮观景象] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[阳光墙面效果] -> [愉悦/开心]; [火车声音] -> [兴趣/好奇]
[蒸汽机车和绿皮车厢] -> [蛮适合拍照]; [书店环境] -> [蛮适合拍照],[休闲] -> [愉悦/开心]; [回忆儿时快乐] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[蒸汽机车和绿皮车厢] -> [愉悦/开心]
[落日余晖] -> [美到令人窒息]; [轮渡上层甲板] -> [出片],[美到令人窒息] -> [愉悦/开心]; [有历史感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐来中山码头]; [敬畏/惊叹] -> [强烈建议体验轮渡],[江风轻拂] -> [放松/平静]; [落日余晖] -> [愉悦/开心]
[夕Space落日餐厅] -> [韩系风格]; [二楼露台正对玄武湖] -> [欣赏风景],[韩系风格] -> [愉悦/开心]; [欣赏风景] -> [放松/平静],[愉悦/开心] -> [拍照打卡]; [放松/平静] -> [推荐/下次还来],[韩系落日餐厅+玄武湖景观] -> [愉悦/开心]
[候船厅变成历史陈列馆] -> [有历史感],[有历史感] -> [自豪/归属感],[自豪/归属感] -> [推荐],[历史陈列馆] -> [自豪/归属感]
[民国首都电厂旧址公园] -> [有历史感]; [民国首都电厂旧址公园] -> [有回忆],[有回忆] -> [怀旧/温馨],[怀旧/温馨] -> [拍照并回忆往事],[民国首都电厂旧址公园] -> [怀旧/温馨]
[玻璃栈道] -> [海边风格]; [晚霞] -> [格外的美丽],[海边风格] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[波光粼粼的江景] -> [愉悦/开心]; [江风吹动秀发] -> [放松/平静]
[日落] -> [好看]; [灯光璀璨] -> [出片],[浪漫氛围] -> [愉悦/开心]; [舒服的体感] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[日落] -> [治愈/敬畏]; [江风吹拂] -> [舒适]
[南京长江大桥] -> [宏伟]; [玻璃栈桥] -> [免费但需注意路线],[宏伟] -> [敬畏/惊叹]; [历史与现代的碰撞] -> [愉悦/开心],[敬畏/惊叹] -> [不远万里来参观],[江风拂面] -> [愉悦/开心]; [火车声] -> [敬畏/惊叹]
[下关火车主题公园] -> [复古]; [浦口码头] -> [民国感]; [江景] -> [开阔],[浪漫氛围] -> [放松/平静]; [出片效果] -> [愉悦/开心]; [民国建筑] -> [怀旧/温馨],[放松/平静] -> [悠闲地度过只属于你一个人的周末时光]; [愉悦/开心] -> [推荐; 下次还来],[江风] -> [舒适]; [民国建筑] -> [怀旧/温馨]
[浦口火车站] -> [承载新功能]; [浦口火车站建筑群] -> [国内数一数二],[历史文化价值] -> [自豪/归属感]; [朱自清《背影》关联] -> [怀旧/温馨],[怀旧/温馨] -> [推荐参观],[历史建筑风貌] -> [怀旧/温馨]
[落日余晖] -> [色彩绚丽]; [滨江步道] -> [路线清晰],[风景如画] -> [愉悦/开心]; [江风吹拂] -> [放松/平静]; [诗意栖居] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来]; [放松/平静] -> [可以静静地坐着看风景],[夕阳晚霞] -> [愉悦/开心]; [江风吹拂] -> [放松/平静]
[窗户] -> [观景最佳位]; [元宝元素装饰] -> [精致/有设计感],[观景体验] -> [放松/平静]; [装饰美感] -> [愉悦/开心],[愉悦/放松] -> [推荐/下次还来],[窗户景观] -> [愉悦/开心]
,,,
[橘子海] -> [好看/出片]; [长江大桥玻璃栈道] -> [晚上亮灯很好看],[好看/出片] -> [愉悦/开心]; [安静放松的氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [等待太阳慢慢落下],[橘子海日落] -> [治愈/愉悦]; [江风] -> [舒适但需保暖]
[下关火车主题公园] -> [浪漫]; [玻璃栈道] -> [宝藏],[浪漫氛围] -> [愉悦/开心]; [宝藏景观] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 想常来],[玻璃栈道] -> [兴趣/好奇]
[三层甲板] -> [建议上三层拍照]; [2元票价] -> [性价比高],[性价比高] -> [愉悦/开心]; [日落美景] -> [愉悦/开心],[愉悦/开心] -> [下次还来],[日落] -> [愉悦/开心]
[南京长江大桥] -> [历史厚重感]; [夫子庙-秦淮河] -> [江南水乡风格],[文化氛围浓厚] -> [愉悦/开心]; [宁静时光] -> [放松/平静],[愉悦/开心] -> [推荐南京作为旅游目的地],[南京城墙] -> [历史厚重感]; [玄武湖公园] -> [放松/平静]
[南京长江大桥] -> [跨越时空的伟大杰作],[承载着无数记忆与荣耀] -> [自豪/归属感],[敬畏/惊叹] -> [总要去一趟],[南京长江大桥] -> [敬畏/惊叹]
[下关火车主题公园] -> [适合摄影]; [亲水设计] -> [可以走到江边],[出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 想常来],[日落光线] -> [愉悦/开心]; [江景] -> [放松/平静]
[下关火车主题公园] -> [适合拍照]; [民国风建筑] -> [出片],[环境不错] -> [放松/平静]; [适合拍照] -> [愉悦/开心],[愉悦/开心] -> [推荐打卡],[民国风建筑] -> [喜欢]
[日落余晖] -> [非常出片]; [下关火车站] -> [适合拍照],[出片效果] -> [愉悦/开心]; [日落美景] -> [敬畏/惊叹],[愉悦/开心] -> [推荐下次再来],[日落余晖下的火车站] -> [敬畏/惊叹]
[龙虎巷1号民国建筑] -> [具有历史价值]; [法桐掩映] -> [格外显眼],[有故事] -> [怀旧/温馨]; [历史厚重感] -> [敬畏/惊叹],[怀旧/温馨] -> [推荐了解城市历史],[民国建筑风格] -> [敬畏/惊叹]
[江岸线] -> [风景无敌]; [铁路轮渡桥遗址] -> [工业风]; [望桥礁] -> [网红打卡点],[风景无敌] -> [愉悦/开心]; [工业风] -> [兴趣/好奇]; [远眺长江大桥] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [适合亲子活动和朋友同行],[夕阳下的江滩] -> [放松/平静]; [蓝天白云] -> [愉悦/开心]
,[大气之美] -> [愉悦/开心],,
[长江] -> [繁忙与辽阔]; [民国建筑] -> [有历史感],[性价比超高] -> [放松/平静]; [有历史感] -> [兴趣/好奇],[放松/平静] -> [推荐],[江景] -> [放松/平静]
[中山码头] -> [太有电影感]; [轮渡] -> [有氛围],[太有电影感] -> [愉悦/开心],[愉悦/开心] -> [推荐前往],[电影感场景] -> [愉悦/开心]
[挹江门] -> [见证中国近代史风云变幻]; [民国海军医院旧址] -> [南京唯一的民国医院遗存],[承载中国近代史记忆] -> [敬佩]; [有历史文化价值] -> [自豪/归属感],[敬佩] -> [推荐]; [自豪/归属感] -> [推荐],[民国风格建筑] -> [怀旧]
[西洋古典近代风格建筑] -> [有设计感/精致],[有历史感] -> [平静/中性],,
[玻璃栈道] -> [出片]; [长江大桥] -> [怀旧氛围],[怀旧氛围] -> [怀旧/温馨]; [出片] -> [愉悦/开心],[怀旧/温馨] -> [带女儿来打卡],"[蓝天白云, 江水滚滚] -> [愉悦/开心]"
[紫峰大厦与南堡构图] -> [构图巧妙]; [长江大桥灯光] -> [灯光设计美观],[构图创意好] -> [敬佩/惊叹]; [灯光效果很好] -> [愉悦/开心],[愉悦/开心] -> [推荐该拍摄机位],[紫峰大厦与南堡构图] -> [敬佩/惊叹]
[老南京北站] -> [很有年代感]; [轮渡] -> [适合拍照],[适合拍照] -> [愉悦/开心]; [有年代感] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[夕阳] -> [愉悦/开心]
[南京西站] -> [有历史感]; [南京西站] -> [落寞],[有历史感] -> [怀旧/温馨]; [落寞氛围] -> [悲伤/失望],[怀旧/温馨] -> [参观、回忆],[火车交汇场景] -> [热闹]; [失去功能后的现状] -> [落寞]
,,,
[中山码头] -> [可一饱江景],[美食美景兼得] -> [愉悦/开心]; [有诗意的店名] -> [兴趣/好奇],[愉悦/开心] -> [推荐],[江景] -> [兴趣/好奇]
[民国建筑风格] -> [复古文艺范]; [橘子小品装饰] -> [瞬间穿越百年],[文艺氛围] -> [愉悦/开心]; [历史联想] -> [怀旧/温馨],[愉悦/开心] -> [推荐拍照打卡地],[民国建筑风格] -> [愉悦/开心]
[浦口火车站] -> [有历史感]; [轮渡] -> [价格便宜且准时],[有文化底蕴] -> [怀旧/温馨]; [文艺氛围] -> [兴趣/好奇],[怀旧/温馨] -> [推荐],[日照江面] -> [兴趣/好奇]
[樱花岛与竹林] -> [超美]; [工业风油罐] -> [适合拍艺术大片]; [樱花隧道废弃铁轨] -> [电影感十足],[适合拍艺术大片] -> [兴趣/好奇]; [电影感十足] -> [愉悦/开心],[愉悦/开心] -> [拍照打卡]; [兴趣/好奇] -> [参加市集],[樱花岛] -> [愉悦/开心]; [郁金香花海] -> [自豪/归属感]
无法判断,[免费开放日信息] -> [兴趣/好奇],[兴趣/好奇] -> [收藏信息],无法判断
[浦口火车站] -> [历史韵味浓]; [《背影》主题雕塑] -> [有文化氛围],[文化氛围] -> [兴趣/好奇]; [个人记忆关联] -> [怀旧/温馨],[兴趣/好奇] -> [推荐大家来看看],[朱自清《背影》场景] -> [怀旧/温馨]
[仿古街区] -> [没有完整历史展示]; [零星标识牌] -> [缺乏整体感],[失望体验] -> [失望/悲伤]; [低劣的文化展示] -> [厌恶],[失望/悲伤] -> [劝退/不会再来],[零星标识牌] -> [失望/悲伤]
[候车大楼前、月台雨廊下、红房别墅间] -> [有历史感]; [长江对岸的滨江风光带] -> [协调统一],[有历史感] -> [怀旧/温馨]; [掀起阵阵波澜] -> [敬畏/惊叹],[怀旧/温馨] -> [沉浸其中]; [敬畏/惊叹] -> [推荐/想再来],[红房别墅间] -> [怀旧/温馨]
,,,
[轮渡服务] -> [免费乘坐]; [轮渡服务] -> [人车可以上船],,,
[网红桥] -> [未来网红打卡地]; [江豚文创] -> [美貌且价格不贵],[美貌文创] -> [愉悦/开心]; [晚霞亮灯美景] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[晚霞] -> [愉悦/开心]; [亮灯效果] -> [愉悦/开心]
,[省事省心省钱] -> [愉悦/开心],[愉悦/开心] -> [促进前往南京的意愿],
[民国建筑] -> [完美融合]; [废弃火车站] -> [有历史感],[怀旧氛围] -> [怀旧/温馨]; [历史感] -> [敬畏/惊叹],[怀旧/温馨] -> [想常来]; [敬畏/惊叹] -> [推荐],[斑驳的墙壁] -> [敬畏/惊叹]
[月台美式] -> [有氛围感]; [铁轨] -> [有设计感],[烟火气] -> [愉悦/开心]; [月台与橘子树] -> [兴趣/好奇],[愉悦/开心] -> [走不动路/长时间停留],[橘子树] -> [兴趣/好奇]
[富贵山城墙] -> [美学欣赏]; [轮渡] -> [功能性好评],[穿着旗袍拍照的中年姐姐们] -> [愉悦/开心]; [有趣的经历] -> [兴趣/好奇],[愉悦/开心] -> [推荐南京轮渡],[唱歌声] -> [兴趣/好奇]
[大场景] -> [爽],[爽] -> [愉悦/开心],[愉悦/开心] -> [分享照片],[大场景] -> [愉悦/开心]
[夕Space] -> [有温度],[温暖] -> [舒适/安全],[舒适/安全] -> [邂逅温暖的人],[夕Space] -> [温暖]
[浦口火车站] -> [有历史感]; [古老的小物件] -> [怀旧氛围],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [打卡]; [愉悦/开心] -> [品尝甜品],[秦淮灯] -> [愉悦/开心]
[浦口火车站] -> [有历史感]; [浦口火车站] -> [有文化底蕴],[有历史感] -> [敬佩/自豪]; [静心淡然宁静] -> [平静/放松],[平静/放松] -> [静心淡然宁静],[浦口火车站] -> [敬佩/自豪]
[轮渡] -> [公交体感]; [南京北站] -> [废弃火车站有历史感],[特别有爱] -> [兴趣/好奇]; [空调凉快] -> [舒适/安全],[舒适/安全] -> [推荐/愿意再来],[长江美景] -> [兴趣/好奇]
