关系抽取_RE_Spatial_Cognitive
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老]
[荒烟蔓草] -> [有历史感]; [工业遗迹] -> [独特]
[英式风格建筑] -> [文艺]; [历史事件关联] -> [有文化氛围]
[江豚观赏地] -> [未观察到江豚]
[浦口火车站] -> [承载历史记忆]; [站台铁轨] -> [有设计感]
[长江大桥] -> [宏伟]; [玻璃栈道] -> [视野好]
[下关火车主题公园] -> [适合摄影创作]; [绿皮火车] -> [出片]
[长江沿线] -> [让心得到释放]; [落日] -> [超级漂亮]
[玻璃栈桥] -> [风景很好]; [城墙] -> [较长且一度怀疑走错路]
[栈桥] -> [很惊喜]; [长江边] -> [路线清晰]
[蒸汽火车、站台] -> [文艺的、复古风]; [斑驳锈迹] -> [有历史厚重感]
[老山] -> [森林覆盖率超过80%]; [骑行路况] -> [路况良好、有趣味性]
[中山码头轮渡] -> [临时封闭]
[铁路轮渡栈桥旧址] -> [不可多得的废铁风打卡胜地]; [退役蒸汽机头和废弃钢轨枕木] -> [历史的荣光]
[蒸汽火车头、绿皮车厢] -> [唤醒记忆]; [铁路轮渡栈桥旧址] -> [复古工业风拍摄]; [江边路梧桐树] -> [写满老下关沧桑]
[中西融合风格] -> [兼具实用性与美观性]; [功能分区明确] -> [布局合理]
[下关火车遗址公园] -> [历史感]; [下关梧桐大道] -> [视觉美感]
[江边日落] -> [出片]; [中山码头] -> [浪漫氛围]
[渡轮] -> [浪漫]; [橘子海日落] -> [出片]
[长江] -> [宁静]; [落日] -> [小众]
[轮渡] -> [价格低廉]; [浦口火车站旧址] -> [文学与影视文化价值]
[711便利店] -> [好看/出片]; [蓝调+暖橘灯光] -> [有设计感]
[浦口火车站] -> [中国最文艺的火车站]; [《背影》主题雕塑] -> [有散文氛围]
[浦口火车站] -> [《背影》文学记忆]
[滨江公园] -> [适合city walk]; [镇江阁] -> [标志性建筑]
[鼓楼滨江风光带] -> [距离100米]; [地铁5号线] -> [距离50米]
[百年铁轨] -> [有历史感]; [朱自清橘子雕塑] -> [文学氛围拉满]; [绿皮火车头] -> [工业风怀旧感]
[中山码头] -> [南京下关滨江区域的一部分]
[下关火车主题公园] -> [美到让人窒息]; [长江大桥玻璃栈道] -> [蓝调时刻绝美]
[江豚观测点] -> [适合拍摄]
[江上落日] -> [盛大且浪漫]; [靠窗座位] -> [第一视角看江景落日]
[浦口火车站] -> [有历史感]
[红色瓦顶] -> [太美了]; [民国风格建筑] -> [适合穿民国服装]
[夕阳] -> [醉我夕阳]; [樱花] -> [慢慢舞蹈]
[工业遗存] -> [有历史感]; [工业遗存] -> [有文化底蕴]
[南京北站] -> [拍照很出片]; [江豚文化小站] -> [江豚周边可爱]
[民国风情街] -> [有设计感]; [旧物仓] -> [有回忆]
[浦口火车站近代建筑风貌街区] -> [有很多可以拍照的地方]; [轮渡服务] -> [半小时一趟]
[亲水圆环景观桥] -> [网红打卡]; [桥景] -> [出片]; [亮灯夜景] -> [美]; [金川河与江水交汇] -> [颜色独特]
[红砖墙] -> [有历史感]; [民国建筑] -> [文艺气息浓厚]
[长江大桥] -> [壮观]; [长江大桥] -> [新金陵四十八景之一]
[百年民国建筑] -> [有历史感]; [繁花大片] -> [出片]
[长江大桥夜景] -> [震撼的美]; [玻璃栈道灯光] -> [美丽]
[浦口火车站] -> [有历史感]; [老英式建筑] -> [有设计感]
[玻璃栈道] -> [照明功能正常]; [长江大桥不开灯] -> [手机可拍出好效果]
[玻璃栈道] -> [出片]; [下关火车主题公园] -> [有历史感]
[轮渡服务] -> [支付方式便捷]; [楼层分区] -> [功能分区合理]
[中山码头] -> [有历史感; 有故事; 有文化底蕴]
[浦口火车站未开放] -> [失望/不满]; [大马路招商水平低] -> [低配版1912]
[沿江] -> [超有感觉]
[月台] -> [有历史感]; [浦口火车站] -> [有故事]
[下关火车主题公园] -> [南京最早的火车站]; [火车车厢] -> [可以上去]; [江边] -> [适合拍摄]
[落日] -> [美丽/壮观]
[秋季景色] -> [最有魅力的时间]; [下关火车主题公园] -> [出片]
[民国首都电厂旧址公园] -> [有历史感]; [咖啡厅] -> [极度氛围感]
[橘子海] -> [浪漫]; [轮渡] -> [出片]; [老式火车厢] -> [有感觉]
[新建景观] -> [功能未知]
[轮渡、夕阳、老火车站] -> [很好拍]; [排队效率] -> [很快]
[101明潮里] -> [潮流艺术园区]; [阅江楼] -> [中式美学氛围拉满]
[下关火车公园] -> [有历史感]
[玻璃栈桥] -> [出片]; [民国建筑] -> [有历史感]; [江豚观赏地] -> [有趣]
[老山大坡] -> [难以加速]; [湿滑泥泞] -> [力不从心]
[老厂房] -> [工业风打卡地]; [阅江楼] -> [中式美学氛围拉满]
[浦口火车站] -> [魂牵梦绕]; [火车站旧址] -> [有文化内涵]
[金色阳光洒满江面] -> [不比海边差]
[轮渡线路] -> [票价便宜]; [扬子江生态公园] -> [设施齐全]
[铁路轮渡旧址] -> [有历史感]
[轮渡] -> [可赏江景]; [图书馆] -> [自己拍摄的照片]
[江豚] -> [活跃]
[南京长江大桥] -> [有历史意义]
[浦口火车站] -> [已封锁无法进入]
[小红楼] -> [浪漫日落]; [老建筑] -> [有历史感]
[阅江楼] -> [太好拍了]; [梧桐树阵] -> [走在树下就是舒服]; [江豚广场] -> [最美广场]
[中山码头] -> [人山人海]; [浦口码头网红化] -> [人潮汹涌]
[下关火车主题公园] -> [未明确说明]
[工业遗存] -> [承载工业记忆]; [防汛墙改造] -> [空间布局清晰]
[民国小楼] -> [错落有致]; [红色革命氛围] -> [有氛围感]
[阅江楼] -> [非常漂亮]; [铁路轮渡栈桥旧址] -> [工业废土风]
[浦口火车站] -> [百年历史感]; [民国风格建筑] -> [有设计感]
[江景樱花] -> [别具特色]; [樱花林] -> [美丽]; [游客相对较少] -> [拍摄好地方]
[玻璃栈道] -> [视野开阔]; [落日] -> [坠佳场所]
[祁家桥俱乐部] -> [神秘感]; [设计细节] -> [有设计巧思]
[南京长江大桥] -> [格外美腻]; [春茗熙茶楼] -> [性价比高]; [老韩柴火馄饨] -> [苍蝇馆子]
[玻璃栈桥] -> [有设计感]; [落日] -> [太美了]
[方块状的新建住宅小区] -> [现代化]; [横平竖直的路网] -> [规整]
[日落] -> [漂亮]; [暖光] -> [与胶片滤镜超搭]
[绿皮火车] -> [出片]; [江豚书屋] -> [娃最爱]
[夕Space] -> [南京唯一真正江景婚礼]; [江景视野] -> [有设计感、出片效果]
[长江大桥] -> [有历史感]
[滩涂+夕阳] -> [有氛围感]; [四点多光线] -> [电影感]
[微笑驿站] -> [提供地图和章]; [主题邮局] -> [提供章]
[轮渡] -> [无需排队]; [扬子江生态公园] -> [一线江景超赞]
[橘子味江畔日落] -> [电影感拉满]; [中山码头2元轮渡] -> [性价比高]
[下关大桥] -> [景美]; [水浑浪稳] -> [坐钓环境评价]
[玻璃栈桥] -> [观赏长江大桥]
[江景] -> [开阔]; [火车] -> [休闲]; [世纪缘酒店] -> [有回忆]
[玻璃栈桥夜晚灯光] -> [超级美]; [路边指示牌] -> [路线清晰]
[江边] -> [替代性选择]
[轮渡甲板] -> [视野更好]; [粉雾海落日] -> [很美]
[下关滨江] -> [适合散步聊天]; [夕阳] -> [视觉效果好]
[下关火车主题公园] -> [出片]; [滨江步道] -> [路线清晰]
[电厂主体] -> [遗憾地改造]; [大烟囱（假设存在）] -> [增色不少]
[铁路轮渡栈桥旧址] -> [历史感]; [长江大桥] -> [壮阔]
[南京长江大桥] -> [有历史感]; [骑行体验] -> [有活力]
[下关西公园到中山码头路线] -> [路线清晰]; [落日] -> [浪漫]
[南京长江大桥] -> [壮观]; [亲水圆环景观桥] -> [精致]; [徒步] -> [耗体力]
[南京长江大桥] -> [精神脊梁]; [南京长江大桥] -> [民族记忆]; [南京长江大桥] -> [教育意义]
[玻璃栈桥] -> [视野开阔]; [下关火车遗址公园] -> [有历史感]
[长江边] -> [景色宜人]; [长江生态园] -> [自然美景]
[玻璃栈桥] -> [视野开阔]; [落日余晖] -> [出片]
[晚霞] -> [绝美]; [轮渡] -> [治愈落日江景]
[轮渡] -> [支持支付宝支付]; [玻璃栈道] -> [跟随人群]
[民国海军医院旧址] -> [历史遗产]; [中西合璧建筑风格] -> [设计感强]
[南京眼步行桥] -> [长江上首座观光步行桥]; [花山大桥] -> [国内首创四拱一塔结构]
[火车和高铁] -> [儿童注意力集中]; [宽敞空间] -> [让娃自由奔跑]
[木制风格] -> [好看/出片]; [木制风格] -> [有设计感]
[夕阳西下] -> [挺美的]
[长江大桥] -> [视野开阔]; [南堡公园电梯] -> [方便通行]
[城市景观] -> [适合摄影]; [高楼位置] -> [视野开阔]
[中山码头] -> [位置便利]; [七哥渔小馆] -> [环境不错]
[绿皮车厢] -> [复古风格]; [夕阳照射车厢] -> [出片]; [铁路轨道] -> [有历史感]
[南京西站] -> [有回忆]; [铁路栈桥] -> [有故事]
[轮渡服务] -> [路线清晰; 票价便宜]; [日落景观] -> [风景真的很美]
[民国海军医院] -> [有历史感]; [修复后的罗马柱] -> [有设计感]
[铁路轮渡栈桥旧址] -> [城市历史脚印]; [民国建筑遗存] -> [历史厚重感]
[船型大厦] -> [造型独特]; [米黄灰色外立面] -> [米黄灰色协调]
[遮天的梧桐] -> [清凉]; [光秃秃的枝丫] -> [失落]
[浦口火车站] -> [中国最美文艺火车站]; [扬子江公园] -> [可以遥望长江]
[下关大马路拆迁] -> [城市变迁感]; [京市铁路支线] -> [历史痕迹]
[中山码头轮渡] -> [幸福]; [长江观景] -> [好治愈]
[长江一线江景] -> [推窗见景]; [历史文化遗址] -> [历史控狂喜]
[废旧铁轨] -> [容易出片]; [民国旧车站] -> [有历史感]
[浦口火车站] -> [有历史韵味]; [情深深雨蒙蒙音乐] -> [浪漫的]
[大桥公园维修] -> [不可达]; [公园前行路线] -> [可达性]
[长江航道局老办公楼] -> [承载老下关历史变迁]; [90年代建筑风格] -> [代表特定时代设计感]
[南京扬子江国际会议中心停车场] -> [停车方便]; [公共自行车] -> [轻松不累]
[长江之恋游轮] -> [梦幻至极]; [夕阳] -> [浪漫]
[中山码头] -> [很出片]; [日落] -> [绝美]; [南京北站废弃建筑] -> [展示岁月痕迹]
[鼓楼滨江一线景观] -> [无需滤镜的自然美感]; [地暖中央空调] -> [舒适]
[玻璃栈桥] -> [亮灯视觉效果]; [民国时期建筑群] -> [历史感]
[阅江楼] -> [巍峨壮观]; [下关火车主题公园] -> [烟火气十足]
[中山码头] -> [位置明确]; [餐馆] -> [味道惊艳]
[霓虹灯] -> [璀璨]
[码头咖啡] -> [怀旧氛围]; [中山码头] -> [历史与现代的结合]
[灯光] -> [美出新level]
[中山码头] -> [历史意义]; [大马路近代建筑群] -> [唤醒记忆]; [绿城低密洋房] -> [天空之境]
[下关火车主题公园] -> [适合拍照的小众景点]; [夕阳剪影] -> [浪漫]
[下关火车主题公园] -> [有历史感]; [铁轨] -> [富有故事性]
[斑驳站台] -> [古朴]; [树木葱茏] -> [生机宁静]
[中山码头-浦口码头轮渡] -> [便捷]; [总统府] -> [人山人海]
[浦口火车站] -> [历史厚重]; [民国风情街] -> [老电影场景]
[南京西站] -> [民国风有设计感]; [朱自清《背影》场景] -> [文学记忆]
[南京西站] -> [有历史感]; [南京西站] -> [有文化底蕴]
[红顶黄墙建筑] -> [恢宏气势浑然天成]; [朱自清《背影》场景] -> [有故事]
[入口位置] -> [方向感强]; [玻璃栈道] -> [灯光效果]
[江豚观测点] -> [浪漫氛围]; [骑行道] -> [路线清晰]
[江边草坪] -> [适合玩耍野营]; [四月天气] -> [舒服]
[下关火车主题公园] -> [适合拍照]; [绿皮火车] -> [有设计感]
[铁路轮渡栈桥旧址] -> [厚重的历史感]; [亚洲第一条铁路轮渡] -> [有设计感]
[民国风貌建筑] -> [精致/庄重]; [万国建筑群] -> [出片]; [光影效果] -> [有设计感]
[轮渡] -> [性价比高]; [夕阳光线] -> [出片有层次感]
[南京西站] -> [有历史感]
[中山轮渡] -> [浪漫]; [橘子海日落] -> [吸引大批游客]
[长江游轮] -> [超棒]; [模拟驾驶舱] -> [出把船长瘾]; [观景草坪] -> [视野绝佳]
[老厂房改造] -> [有设计感]; [银杏树] -> [正在观赏期]
[玻璃栈道] -> [有设计感]; [晚霞] -> [浪漫]
[修缮过的近代建筑] -> [独特的历史氛围]; [绿皮火车] -> [历史氛围]
[滨江岸线] -> [贯穿绿带]; [工业遗产] -> [有历史感]
[京艺术中心] -> [有设计感]; [包豪斯女孩油画] -> [很好看]; [轮渡] -> [便宜实用]
[新兴景点] -> [客流过载]; [浦口火车站] -> [萧瑟]
[渡轮] -> [价格低廉]; [港口] -> [普通]
[轮渡] -> [实用性强]; [搬运工人雕塑] -> [真实还原]
[南京长江大桥] -> [中国桥梁建设里程碑]; [桥身夜景] -> [如梦如幻]
[火车主题餐厅] -> [适合用餐和拍照]; [绿皮火车] -> [出片]
[铁路轮渡栈桥旧址] -> [小众且安静]; [工业建筑遗址] -> [有历史感]
[南京长江大桥] -> [连接历史与未来]
[民国首都电厂旧址公园老建筑] -> [很难找]; [江边大露台] -> [视野好]
[玻璃栈道] -> [看大桥最佳位置]; [傍晚灯光] -> [浪漫氛围]
[下关滨江] -> [江边无尽浪漫]; [铁路轮渡旧址] -> [有纪念意义]
[南京长江大桥] -> [变化真大]; [绿草地] -> [好不惬意]
[中山码头] -> [无法乘坐渡轮]; [达摩古洞] -> [无法参观]
[中山码头] -> [厚重历史]; [青石板和缆绳] -> [往昔繁忙与喧嚣]; [中山之名] -> [对孙中山先生伟大精神的缅怀与敬仰]
[长江大桥玻璃栈道] -> [距离相近]; [风大] -> [停航]
[玻璃栈道] -> [灯光漂亮]; [长江大桥] -> [视野开阔]
[鼓楼滨江风光带] -> [路线清晰]; [京艺术中心] -> [有设计感/协调/出片]
[浦口火车站] -> [独特艺术文化气息]; [文化艺术街区] -> [复古而又多彩]
[落日余晖下的711] -> [出片; 好看; 有设计感]
[民国老建筑] -> [有历史感]; [下关历史陈列馆] -> [推荐]
[滨江步道正对面] -> [位置yyds]; [民国建筑] -> [精致美观]
[玻璃栈桥] -> [很出片]; [老式火车] -> [复古风格]
[南堡公园] -> [适合观日出]; [日出景观] -> [独特氛围]
[711便利店] -> [网红打卡点]; [江边步道] -> [路线清晰]
[长江大桥] -> [美到让人窒息]; [玻璃栈道] -> [美美的]; [火车] -> [美美的]
[中山码头] -> [轮渡便宜实用]; [民国首都电厂旧址公园] -> [日落最佳观赏地]
[火车车厢] -> [适合拍照]; [夕阳] -> [拍剪影漂亮]
[下关火车主题公园] -> [承载历史记忆]
[有轨电车1号线] -> [城市风光尽收眼底]; [灯塔观江平台] -> [很出片]
[中山码头] -> [出片]
[晴天] -> [舒适]
[沿江步行路线] -> [人少景美]; [民国建筑] -> [有设计感]
[船型大厦] -> [具有设计特色]; [南京招商局旧址] -> [商务办公建筑的典范]
[轮渡] -> [票价便宜]; [长江大桥] -> [特出片]
[鼓楼滨江] -> [氛围很棒]; [江边餐厅] -> [环境很好]
[浦口火车站] -> [中国最文艺车站]; [百年历史风貌] -> [仿佛穿越回民国时代]
[长江大桥] -> [视野开阔]; [夕阳] -> [光线柔和]
[公交直达] -> [功能齐全]; [分层设计] -> [功能齐全]
[下关火车主题公园] -> [出片; 有设计感]
[下关火车站大楼] -> [承载铁路发展历史]; [1600多名工作人员] -> [高效运作]
[渡轮] -> [票价便宜]; [渡轮] -> [支持公交卡]
[中山码头->浦口码头->浦口火车站] -> [路线清晰]; [酒吧位于青年旅舍楼下] -> [有社交氛围]
[轮渡] -> [价格便宜]
[下关火车主题公园] -> [小众景点]; [火车车厢] -> [有售卖服务设施]; [长江玻璃桥] -> [路线清晰]
[下关火车公园] -> [人少/宝藏]; [橘子海日落] -> [浪漫/温柔]
[浦口码头] -> [啥也没有]; [天气恶劣] -> [停航]
[豪华邮轮] -> [最大载客1000人]; [滨江风光] -> [美丽]
[浦口火车站] -> [历史厚重]; [英式建筑] -> [视觉独特]; [斑驳月台] -> [怀旧氛围]
[浦口火车站] -> [文化象征意义]
[轮渡] -> [浪漫]
[浦口火车站旧址] -> [民国特色]; [儿童乐园] -> [设施齐全]
[网红栈桥] -> [美]; [夜景] -> [治愈]
[江边路] -> [充满生活气息]
[西桥] -> [纵深感强]; [南京城墙台城景区] -> [古今同框]
[老式绿皮火车] -> [独特背景]; [下关火车主题公园] -> [有故事]
[渡轮] -> [出片效果好]; [橘子海日落] -> [浪漫氛围]
[民国首都电厂遗址] -> [强烈的视觉冲击]; [滨水景观] -> [宁静氛围]
[长江大桥] -> [风景好]
[江景] -> [治愈感强]; [电影取景地] -> [充满历史韵味]
[南堡公园] -> [舒适]; [江边] -> [适合吹风]
[浦口火车站] -> [全国唯二民国特色]; [轮渡] -> [可刷公交卡且便宜]; [江景] -> [拍照蛮出片]
