行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
乘坐地铁; 打车; 参观火车公园; 购物; 用餐; 步行; 观赏玻璃栈道,推荐/下次还来,否,消费体验满意，玻璃栈道人多影响体验
团建活动; cosplay; 自由行,想参加,否,对活动感兴趣并积极申请
喝咖啡; 观景,推荐; 下次还来,否,可以边喝咖啡边欣赏江景
故地重游,推荐/愿意再次前往,否,
乘坐汽渡; 观景; 拍照; 家庭出游,下次还想尝试不同渡口,否,体验风的感觉很特别
观景; 观江豚; 拍照; 乘坐轮渡; 散步; 学习科普知识; 观看动物行为; 自然观察,推荐; 想常来,否,观江豚是一种有趣且富有教育意义的活动
,,,
游览; 拍照; 参观历史遗迹; 散步; 打卡,推荐; 下次还来,否,游览体验满意，认为值得打卡分享
乘坐轮渡; 拍照; 游览; 观景; 看日落; 亲子活动,推荐; 下次还来,否,太快乐; 绝美日落
散步; citywalk; 拍照; 观景; 亲子活动; 遛狗; 购物; 用餐; 登高; 参观艺术园区,推荐; 下次还来,否,适合周末休闲的城市漫步
兜风; 观景,,否,
拍照; 漫步; 观景; 打卡; 就餐; 休息,推荐; 下次还来,否,玩得很舒服; 拍照出片; 散步很放松
拍照,,否,使用iPhone拍照
,,,
散步; 观景; 拍照（隐含）,推荐/想常来,否,散步很舒服、江边吹风很治愈
观察建筑细节; 欣赏设计美感,隐含推荐/想参观,无法判断,对钢窗美学和设计价值表示赞赏
乘坐公交; 乘船; 参观; 拍照; 吃饭; 散步; 观景,推荐,否,整体体验良好
拍照,推荐并建议最佳时间,是（根据人群调整访问时间）,拍照体验好但受人群影响
乘坐轮渡; 观景; 拍照; 散步; 游览历史遗迹,推荐; 下次还来,否,拍照很出片
等待/排队; 考虑游览,犹豫是否继续排队坐船,是（考虑改变计划去沿江逛逛）,
乘坐轮渡; 拍照; 游览,无特别推荐或回避意愿,否,拍照体验满意，整体行程轻松
观景; 看日落,推荐/下次还来（隐含）,否,观赏落日体验良好
参观游览; 教育讲解; 拍照留念,不会推荐/不会再来,否,对历史场景感兴趣但对现状感到失望
,,否,
,,,
散步; 拍照; 观景; 品尝美食; 打卡; 购买文创产品; 看展; 游览历史遗迹,推荐; 想常来,否,非常满意; 很棒; 不可错过
观光游览; 拍照; 散步; 乘公交; 自驾; 防晒措施; 环境保护,推荐前往; 表达重游意愿,否,认为玻璃栈道是值得打卡的景点，适合摄影爱好者
乘坐轮渡; 观赏夜景,推荐/下次还来,否,对电厂旧址的夜景观赏体验非常满意
观景; 拍照; 就餐,推荐; 下次还来,否,菜品可口；套餐性价比高；整体用餐体验良好
,,,
实地考察; 停车; 咨询; 拍照; 探索,不会再来（因公园关闭）,否,实地考察获得第一手信息
,,,
观景; 拍照; 散步; 游览; 发呆; 等待,推荐; 下次还来,否,感到是最具幸福感的旅行体验之一
拍照; 打卡; 观赏,推荐/想来,否,
拍照; 观景; 探索,推荐; 可以常来,否,拍照体验满意，随手拍都很美
拍照; 打卡; 喝咖啡,推荐/下次还来,否,适合拍照打卡
探索; 拍照; 研究记录; 建筑设计工作,有兴趣继续探索类似建筑,否,增加一处典型的历史民居建筑资料信息；还能收集点意想不到的老建筑资料做做研究
乘坐轮渡; 拍照; 观景; 散步; 游览,推荐; 下次还来,否,拍美照; 散步很舒服
拍照; 摄影,想尝试新领域（人像摄影）,否,对人像拍摄活动表示期待
散步; 城市漫步; 拍照打卡; 观看秋景; 登高望远; 购物; 用餐; 亲子活动; 遛宠,推荐; 想常来,否,城市漫步很有趣; 登高望远视野好
参加马拉松; 计划出行; 乘坐公共交通,建议调整出行计划但未明确表示回避,是（轮渡停运导致改乘接驳车）,对交通安排变化的关注高于活动本身体验
观看日落; 拍照; 散步; 购物; 观景; 登桥,推荐,否,拍照体验良好但需消费进入
,,,
步行,,,
乘坐轮渡; 观景; 游览历史建筑,推荐/有兴趣尝试,否,对
,,,
乘坐轮渡; 拍照; 看落日; 排队; 打车,不会推荐/劝退,是（因排队太长改为打车）,拍摄体验满意但排队体验差
,,,
徒步; 散步; 拍照; 观景; 打卡; 餐饮消费; 购物; 参观展览; 骑行; 看日落; 亲子活动; 遛狗; 发呆; 阅读; 参加活动,推荐; 下次还来,否,一路走下来很舒服; 拍照很出片; 日落特别美
拍照,,,拍照体验很好
观景; 看日落,,否,
拍照; 观景; 散步; 看日落,推荐; 下次还来,否,每一帧都充满生机灵动; 把时间浪费在美好的事物上
citywalk; 拍照; 乘坐轮渡; 观景; 游览博物馆,推荐/想再去,否,
观景; 拍照; 打卡,推荐; 下次还来,否,出片效果好
游览,推荐不拥挤的路线; 隐含不去热门景点的建议,无法判断,无法判断
,,,
散步; 拍照; 观景; 乘坐轮渡; 参观历史遗迹; 旅游规划,推荐; 小众宝藏地,否,超惬意; 出片率高
拍照; 观景; 游览,无强烈意愿重访,否,拍照体验一般
拍照; 游览; 观景; 散步; 看展,推荐; 下次还来,否,拍照体验很好; 游览充满历史感
拍照; 游览,推荐,否,
拍照; 观景; 散步; 就餐; 购物,推荐; 下次还来,否,拍照体验满意
,,,
,,,
,推荐/想再来,否,
,,否,
观景; 看日落,推荐/下次还来,否,
拍照; 社交互动,推荐/想来的人多,否,包出片的
乘坐轮渡; 游览,无明确意愿表达，但暗示值得参观,否,轮渡性价比高，整修后的南京北站提升了体验
观景; 观赏江豚,隐含接近意愿（未明确表达）,否,
拍照; 游览; 约拍,会推荐; 会再来,否,拍到了有氛围感的照片
乘坐轮渡; 观赏落日; 拍照; 散步/步行; 乘坐公交车,推荐; 下次还来,否,认为落日观看体验极佳
乘坐轮渡; 拍照; 观景,推荐('冲就对了'),否,拍摄体验满意
乘坐轮渡; 拍照; 游览; 消费; 遛娃,不会推荐/不会再来,是（因拥堵改变停车计划）,商业化过重影响体验，儿童学习效果不佳
游览,未明确表达回避或接近意愿,否,
骑行,推荐/下次还来,否,骑行体验顺畅舒适
观景,,否,
拍照; 观景; 乘坐渡轮; 观看演唱会; 散步; 阅读; 品尝美食; 购物,推荐; 下次还来,否,看电影感照片很出片; 演唱会现场气氛震撼; 阅读时光惬意; 美食丰富满足味蕾
路过观察; 拍照记录; 分享故事,推荐他人来此体验,否,每一帧画面都值得被定格
,,,
,,,
摄影; 观景; 游览,推荐该拍摄点,否,拍摄效果满意，认为值得专程前往
乘坐轮渡; 游览; 拍照; 观景; 参观展览; 散步; 打卡,推荐; 表达下次还想来,否,欣赏长江大桥夜景很值得
游览; 观察变化,有兴趣重访（期待正式开放）,否,享受观察城市更新过程的乐趣
观景; 看日落,推荐（隐含在特意前往）,否,
询问信息,,,
散步; 观景; 拍照; 参观; 用餐; 戏水,推荐游览路线,否,散步非常惬意; 江风令人舒适
散步; 观景; 参观; 拍照; 阅读; 参加活动,推荐; 下次还来; 想常来,否,一路闲逛下来心满意足
散步; 游览; 拍照; 观察自然,推荐; 想常来,否,喜欢这种慢慢品味的感觉
乘坐轮渡; 拍照; 打卡文学场景; 观景,推荐傍晚游玩,否,拍摄体验满意，对轮渡不同区域有偏好
乘坐轮渡; 拍照; 观景; 看日落; 游览,推荐; 下次还来,否,认为加10元上三楼甲板很值得
citywalk; 观景; 观看灯光秀; 购物,推荐; 下次还来,否,灯光秀值得观看; 商场适合逛街消费
拍照; 打卡; 就餐; 观景,推荐（作为打卡拍照地）,否,适合拍摄且人流少影响体验质量
观光; 拍照; 参观展览; 瞻仰; 观景,推荐/下次还来,否,拍照体验很好
乘坐轮渡; 游览; 拍照; 观景; 驾车,推荐（'大家要有耐心'暗示值得等待）,否,成功赶上日落观赏
散步; 拍照; 游览; 参观展览,推荐,否,拍照闲逛看看还蛮有意思
乘坐轮渡,推荐/下次还来,否,认为轮渡体验物超所值
观赏日落; 拍照; 散步; 露营; 野餐; 听音乐会; 社交互动; 放风筝,推荐; 下次还来; 想常来,否,坐在湖畔边的长椅上放空身心不失为一种享受; 听歌交友很值得参与
驾车游览; 用餐; 围炉煮茶; 散步; 拍照; 亲子活动,推荐; 下次还来,是（从市中心改为郊区游）,吃饭很便利; 散步很舒服; 不用排队和堵车很轻松
参观游览; 拍照打卡; 阅读历史介绍; 缅怀历史; 想象文学场景,想再来/期待未来开放,否,获得丰富历史文化体验
参观,,否,
步行; 观景; 拍照,推荐（通过打车定位+导航建议）,否,走路过程很舒服
打卡; 拍照; 约会; 庆祝生日; 纪念日; 品酒; 用餐,推荐; 下次还来,否,微醺一下，一整天的疲惫都消失得无影无踪
品尝美食; 拍照; 游览,推荐,否,美食丰富可口; 拍照体验良好
拍照,推荐,否,拍照很出片
,,,
拍照; 打卡; 观景; 看日落,推荐; 下次还来,否,拍照很出片
观景; 拍照; 散步; 夜间游览,推荐; 下次还来,否,体验浪漫、令人印象深刻
,,,
摄影; 游览; 构图设计; 器材调试,推荐但建议准备充分,否,拍摄体验有好有坏，需要专业准备
拍照; 观景; 乘坐轮渡; 游览,推荐; 下次还来,否,拍照体验很好; 游览过程轻松愉快
拍照; 观景; 打卡,推荐; 下次还来,否,拍照很出片
观光; 散步; 拍照,建议避开高峰时段前往,否,
参观; 拍摄取景,推荐/有兴趣参观,否,
拍照,,,拍照很出片
拍照; 游览; 观景; 参观文化空间,推荐; 下次还来,否,整个体验非常满意
游览,,否,
散步; 拍照; 观景; 亲子活动; 遛宠; 品尝美食; 参观艺术园区; 登高游览,推荐; 刷到就是赚到,否,周末citywalk好去处; 省时省力路线好用
亲子活动,推荐倾向,无法判断,
参观游览; 夜间游览; 计划露营,推荐; 下次还来,否,夜景体验满意
散步; 拍照; 观景; 发呆,推荐; 下次还来,否,感到治愈和放松
观景; 拍照; 打卡; 散步,推荐; 下次还来,否,拍照很出片，但因人多没玩尽兴
观景; 游览,,否,
参观; 学习历史; 拍照; 阅读相关书籍; 观看展览,推荐参观,否,对配套设施表示认可
观景,,否,
拍照; 观景; 散步; 参观; 阅读历史介绍; 发呆; 观看夕阳,推荐; 下次还来,否,拍照体验很好，时光氛围浓厚
观景; 拍照,推荐; 想常来,否,拍照体验满意
拍照; 摄影创作; 打卡; 观景,推荐; 下次还来,否,拍摄体验满意，出片效果很好
散步; 观景; 拍照; 参观博物馆; 乘坐轮渡; 看江豚; 看日落,推荐; 值得去,否,适合慢慢走走、慢慢感受
步行游览; 拍照; 品尝当地美食; 乘坐轮渡; 参观展览; 登城墙; 购物,推荐该路线,否,拍照随便凹; 城墙体验感拉满
,,,
拍照; 观景; 野餐; 聊天; 看日落,推荐; 下次还来,否,很美好
拍照; 观景; 散步; 参观; 看历史遗迹,推荐; 想常来,否,拍照出片效果好; 可以感受历史氛围
,,,
,,,
骑行; 乘坐轮渡; 自驾; 就餐; 休息; 补水/补给,推荐该骑行路线并提供详细指南,否,骑行路况良好、趣味性强，但需注意高温天气下的身体状况管理
旅行规划,避免前往中山码头轮渡,是（因轮渡封闭调整计划）,
拍照; 游览; 修图,推荐（不可多得的一处废铁风打卡胜地）,否,拍摄和修图体验满意
,,,
散步; 拍照; 观景; 参观历史遗迹; 看江豚; 乘坐轮渡; 游览,推荐; 想常来,否,适合触摸历史、欣赏江景
参观; 研究; 游览,推荐/可参观,否,作为文化历史遗产具有参观价值
散步; 游览; 拍照; 乘坐轮渡; 观景,推荐该线路,否,认为线路设计合理，适合城市漫步
乘坐轮渡; 观赏日落; 拍照打卡,推荐,否,超出片; 有氛围感
乘坐轮渡; 拍照; 观景; city walk,推荐; 下次还来,否,15分钟就可以拍出美美的照片
观景; 看落日,隐含接近意愿（主动前往）,否,看水会让心情变好
乘坐轮渡; 游览; 参观历史景点; 美食探索,推荐,否,对轮渡+景点+美食的整体体验表示满意
散步; 拍照; 打卡; 观景,推荐; 下次还来,否,拍照很出片，感觉非常棒
拍照; 参观; 购物; 阅读; 观赏雕塑,推荐,否,能感受到浦口的人文与山水城林
乘坐轮渡; 参观; 游览,推荐/有意愿前往,否,
散步; 拍照; 观看表演; 徒步; 乘坐游船; 穿越瀑布; 游览,推荐游玩,否,拍照出片、风景优美、互动有趣
购房咨询; 房源浏览,业主换房诚售；价格可以沟通,否,
拍照; 游览; 乘坐轮渡; 观景; 看日落; 亲子活动; 阅读（文学相关）,推荐; 下次还来,否,分分钟出片; 拍照很美
旅游规划; 城市游览,推荐,否,认为行程安排合理且丰富
拍照; 观景; 散步; 欣赏日落,推荐; 下次还来,否,拍到了美美的江边大片
拍摄; 观察江豚; 视频剪辑,有兴趣再次前往进行拍摄,否,满意拍摄和后期制作流程
乘坐轮渡; 观赏落日; 拍照; 休闲出游,推荐; 下次还来,否,觉得浪漫且被小事轻松治愈
提问; 互动交流,,否,
参观游览; 拍照; 观看影视拍摄; 了解历史,推荐; 下次还来,否,适合穿民国服装感受历史氛围
乘坐轮渡; 观景; 拍照,推荐; 下次还来,否,体验非常美好
,,否,
,,否,
乘坐轮渡; 拍照; 购物; 盖章打卡; 阅读; 观景,推荐,否,宝宝很开心
参观; 拍照; 散步; 怀旧; 购物; 用餐,不会推荐美食,否,整体游玩时间不长
乘坐轮渡; citywalk; 拍照; 观景,推荐作为休闲去处,否,拍照体验良好；适合散步放松
散步; 拍照; 观景; 遛娃; 野餐; 露营; 骑行; 玩耍; 就餐; 看夜景,推荐; 必打卡; 赶在五一前安排,否,遛娃不主张太累; 下午游玩最舒适
散步; 游览; 拍照; 观景; 沉思,推荐/下次还来,否,感受到历史厚重与独特回忆的美好
参观; 观赏,推荐/建议参观,否,
拍照; 观展; 打卡,推荐; 下次还来,否,拍照效果好; 观展体验佳
,,,
观景; 拍照; 驻足停留,推荐; 下次还来,否,沉浸式感受夜景之美
参观; 拍照; 乘坐轮渡,推荐/有兴趣前往,否,
拍照,无法判断,无法判断,对手机拍摄效果满意
散步; 观景; 拍照; 游览,推荐,否,适合city walk的城市漫步路线
乘坐轮渡,,否,
历史叙述; 资料展示,,否,
游览; 参观,劝退; 不会再来,否,参观体验不佳
拍照; 计划行程,想来但尚未成行,否,
,,,
观景; 拍照,无明确意图,否,
参观游览; 摄影; 观看猫咪,推荐; 适合拍摄,否,适合江边和火车内外拍摄
观景,无法判断,无法判断,无法判断
拍照; 摄影; 游览,推荐/下次还来,否,认为秋季是拍摄的最佳时间
散步; 寻找咖啡厅; 拍照,推荐; 下次还来,否,找到理想的咖啡厅和拍照地点，感到满意
拍照; 模仿朱自清父亲买橘子; 社交分享,无法判断,否,拍照过程有趣但有些尴尬，整体感到开心
乘坐轮渡; citywalk; 散步; 拍照; 观景; 打卡; 约会; 亲子活动; 遛狗; 发呆; 看日落,推荐; 下次还来; 想常来,否,citywalk非常棒; 吹江风很舒服; 看江豚很有趣
参观; 路过,推荐,否,
乘坐轮渡; 拍照; 游览,推荐; 下次还来,否,拍照体验满意，整体感觉轻松愉快
City Walk; 拍照打卡; 观景; 亲子活动; 遛狗/宠物; 登高; 购物; 用餐; 参观艺术区,推荐; 想常来,否,周末好去处; 登高赏秋好时节
散步; 骑行,推荐他人来南京旅游,否,骑行在梧桐大道自由惬意
散步; 观景; 拍照; 打卡; 野餐; 聊天; 参加志愿活动; 阅读; 观看江豚; 乘坐轮渡; 购买纪念品; 盖章收集,推荐; 想常来,否,拍照体验很好; 游览内容丰富; 活动参与度高
